"data";"valor"
"01/12/1995";"-18712,4"
"01/01/1996";"-18584,6"
"01/02/1996";"-17215,2"
"01/03/1996";"-16526,3"
"01/04/1996";"-15386,8"
"01/05/1996";"-14877,0"
"01/06/1996";"-14184,5"
"01/07/1996";"-15446,1"
"01/08/1996";"-16020,2"
"01/09/1996";"-17626,1"
"01/10/1996";"-19467,1"
"01/11/1996";"-20688,2"
"01/12/1996";"-23843,0"
"01/01/1997";"-23027,0"
"01/02/1997";"-24520,5"
"01/03/1997";"-25312,8"
"01/04/1997";"-27490,6"
"01/05/1997";"-28298,4"
"01/06/1997";"-29233,7"
"01/07/1997";"-30068,5"
"01/08/1997";"-30680,2"
"01/09/1997";"-31030,5"
"01/10/1997";"-31207,8"
"01/11/1997";"-32563,4"
"01/12/1997";"-32133,4"
"01/01/1998";"-33958,8"
"01/02/1998";"-33409,8"
"01/03/1998";"-33614,4"
"01/04/1998";"-32659,7"
"01/05/1998";"-33083,3"
"01/06/1998";"-33110,0"
"01/07/1998";"-32064,4"
"01/08/1998";"-32049,5"
"01/09/1998";"-34530,8"
"01/10/1998";"-35663,9"
"01/11/1998";"-35103,8"
"01/12/1998";"-34992,9"
"01/01/1999";"-35260,2"
"01/02/1999";"-34752,4"
"01/03/1999";"-34358,8"
"01/04/1999";"-34128,3"
"01/05/1999";"-33664,6"
"01/06/1999";"-34122,4"
"01/07/1999";"-33602,9"
"01/08/1999";"-33852,3"
"01/09/1999";"-30317,3"
"01/10/1999";"-27826,5"
"01/11/1999";"-27439,1"
"01/12/1999";"-26783,6"
"01/01/2000";"-25272,3"
"01/02/2000";"-25458,5"
"01/03/2000";"-25347,4"
"01/04/2000";"-25738,1"
"01/05/2000";"-25796,4"
"01/06/2000";"-25338,1"
"01/07/2000";"-25143,4"
"01/08/2000";"-24670,4"
"01/09/2000";"-25019,1"
"01/10/2000";"-26139,2"
"01/11/2000";"-26545,8"
"01/12/2000";"-26530,8"
"01/01/2001";"-27907,8"
"01/02/2001";"-28528,1"
"01/03/2001";"-29243,0"
"01/04/2001";"-28623,5"
"01/05/2001";"-29219,7"
"01/06/2001";"-28872,4"
"01/07/2001";"-29548,7"
"01/08/2001";"-29164,1"
"01/09/2001";"-28370,9"
"01/10/2001";"-27251,2"
"01/11/2001";"-26074,6"
"01/12/2001";"-24890,1"
"01/01/2002";"-23769,1"
"01/02/2002";"-23043,3"
"01/03/2002";"-21415,1"
"01/04/2002";"-21038,6"
"01/05/2002";"-20717,3"
"01/06/2002";"-19893,9"
"01/07/2002";"-18442,4"
"01/08/2002";"-17008,6"
"01/09/2002";"-14899,2"
"01/10/2002";"-12474,4"
"01/11/2002";"-11111,1"
"01/12/2002";"-9407,0"
"01/01/2003";"-8067,5"
"01/02/2003";"-7197,8"
"01/03/2003";"-6020,3"
"01/04/2003";"-4996,3"
"01/05/2003";"-2236,7"
"01/06/2003";"-499,8"
"01/07/2003";"797,5"
"01/08/2003";"1709,9"
"01/09/2003";"1776,7"
"01/10/2003";"1859,9"
"01/11/2003";"1805,6"
"01/12/2003";"2193,2"
"01/01/2004";"2673,2"
"01/02/2004";"3055,2"
"01/03/2004";"3553,3"
"01/04/2004";"3721,5"
"01/05/2004";"4258,6"
"01/06/2004";"5701,6"
"01/07/2004";"6641,0"
"01/08/2004";"7065,6"
"01/09/2004";"7413,0"
"01/10/2004";"8295,3"
"01/11/2004";"8188,5"
"01/12/2004";"8959,3"
"01/01/2005";"9075,3"
"01/02/2005";"8977,1"
"01/03/2005";"10000,1"
"01/04/2005";"11489,3"
"01/05/2005";"10577,8"
"01/06/2005";"9893,5"
"01/07/2005";"10708,9"
"01/08/2005";"9746,8"
"01/09/2005";"10413,1"
"01/10/2005";"10298,2"
"01/11/2005";"12292,6"
"01/12/2005";"11679,4"
"01/01/2006";"10516,7"
"01/02/2006";"10976,6"
"01/03/2006";"10477,7"
"01/04/2006";"9828,0"
"01/05/2006";"9659,8"
"01/06/2006";"8967,0"
"01/07/2006";"9441,0"
"01/08/2006";"10813,5"
"01/09/2006";"10657,9"
"01/10/2006";"11286,3"
"01/11/2006";"10893,5"
"01/12/2006";"10774,0"
"01/01/2007";"10667,7"
"01/02/2007";"10369,9"
"01/03/2007";"9305,7"
"01/04/2007";"10934,0"
"01/05/2007";"10282,0"
"01/06/2007";"10055,9"
"01/07/2007";"6011,0"
"01/08/2007";"5039,5"
"01/09/2007";"3254,0"
"01/10/2007";"1389,7"
"01/11/2007";"-1671,9"
"01/12/2007";"-2753,7"
"01/01/2008";"-7198,9"
"01/02/2008";"-9689,4"
"01/03/2008";"-14384,0"
"01/04/2008";"-19377,1"
"01/05/2008";"-20274,6"
"01/06/2008";"-23706,2"
"01/07/2008";"-26067,3"
"01/08/2008";"-28740,4"
"01/09/2008";"-32279,1"
"01/10/2008";"-33456,3"
"01/11/2008";"-33010,2"
"01/12/2008";"-35601,7"
"01/01/2009";"-34245,9"
"01/02/2009";"-32723,6"
"01/03/2009";"-29858,5"
"01/04/2009";"-26488,9"
"01/05/2009";"-27224,7"
"01/06/2009";"-24774,7"
"01/07/2009";"-23986,1"
"01/08/2009";"-23332,7"
"01/09/2009";"-22718,1"
"01/10/2009";"-24271,6"
"01/11/2009";"-26548,8"
"01/12/2009";"-29328,4"
"01/01/2010";"-33913,6"
"01/02/2010";"-39180,6"
"01/03/2010";"-45993,3"
"01/04/2010";"-52656,2"
"01/05/2010";"-55980,1"
"01/06/2010";"-62334,7"
"01/07/2010";"-69355,2"
"01/08/2010";"-74363,9"
"01/09/2010";"-79685,7"
"01/10/2010";"-83395,6"
"01/11/2010";"-88125,2"
"01/12/2010";"-86717,8"
"01/01/2011";"-88691,0"
"01/02/2011";"-87774,8"
"01/03/2011";"-85876,2"
"01/04/2011";"-85299,3"
"01/05/2011";"-86530,5"
"01/06/2011";"-85526,6"
"01/07/2011";"-84497,9"
"01/08/2011";"-84533,5"
"01/09/2011";"-82199,4"
"01/10/2011";"-81204,9"
"01/11/2011";"-81217,5"
"01/12/2011";"-83576,2"
"01/01/2012";"-85693,5"
"01/02/2012";"-85873,5"
"01/03/2012";"-85995,5"
"01/04/2012";"-86692,7"
"01/05/2012";"-86915,4"
"01/06/2012";"-88480,7"
"01/07/2012";"-88340,1"
"01/08/2012";"-87105,1"
"01/09/2012";"-86969,8"
"01/10/2012";"-88920,9"
"01/11/2012";"-90294,3"
"01/12/2012";"-92678,2"
"01/01/2013";"-94057,2"
"01/02/2013";"-95268,6"
"01/03/2013";"-95548,9"
"01/04/2013";"-96175,4"
"01/05/2013";"-96345,9"
"01/06/2013";"-92857,5"
"01/07/2013";"-96576,2"
"01/08/2013";"-97657,4"
"01/09/2013";"-97087,5"
"01/10/2013";"-96719,4"
"01/11/2013";"-92950,5"
"01/12/2013";"-88384,0"
"01/01/2014";"-88727,3"
"01/02/2014";"-91036,1"
"01/03/2014";"-92188,6"
"01/04/2014";"-93642,5"
"01/05/2014";"-94053,0"
"01/06/2014";"-95216,9"
"01/07/2014";"-93948,2"
"01/08/2014";"-94701,1"
"01/09/2014";"-98457,8"
"01/10/2014";"-100911,2"
"01/11/2014";"-105331,6"
"01/12/2014";"-110493,2"
"01/01/2015";"-109164,6"
"01/02/2015";"-108420,2"
"01/03/2015";"-106681,8"
"01/04/2015";"-104094,9"
"01/05/2015";"-100845,7"
"01/06/2015";"-99340,7"
"01/07/2015";"-94824,1"
"01/08/2015";"-91096,5"
"01/09/2015";"-85351,7"
"01/10/2015";"-80329,8"
"01/11/2015";"-73667,7"
"01/12/2015";"-63408,9"
"01/01/2016";"-56655,4"
"01/02/2016";"-50281,8"
"01/03/2016";"-45716,0"
"01/04/2016";"-40475,3"
"01/05/2016";"-35415,8"
"01/06/2016";"-34680,1"
"01/07/2016";"-32506,1"
"01/08/2016";"-30995,5"
"01/09/2016";"-29809,4"
"01/10/2016";"-28438,3"
"01/11/2016";"-25452,9"
"01/12/2016";"-30529,4"
"01/01/2017";"-31479,2"
"01/02/2017";"-30231,2"
"01/03/2017";"-28360,7"
"01/04/2017";"-28290,4"
"01/05/2017";"-27650,8"
"01/06/2017";"-25029,5"
"01/07/2017";"-25023,1"
"01/08/2017";"-24849,4"
"01/09/2017";"-24706,4"
"01/10/2017";"-23658,3"
"01/11/2017";"-26721,0"
"01/12/2017";"-25337,4"
"01/01/2018";"-26231,3"
"01/02/2018";"-31674,1"
"01/03/2018";"-34883,5"
"01/04/2018";"-36566,2"
"01/05/2018";"-39912,1"
"01/06/2018";"-41899,5"
"01/07/2018";"-46057,8"
"01/08/2018";"-49670,0"
"01/09/2018";"-50457,8"
"01/10/2018";"-51069,1"
"01/11/2018";"-51290,9"
"01/12/2018";"-54793,9"
"01/01/2019";"-56456,5"
"01/02/2019";"-53433,1"
"01/03/2019";"-53873,5"
"01/04/2019";"-54244,4"
"01/05/2019";"-55990,2"
"01/06/2019";"-56403,3"
"01/07/2019";"-59710,1"
"01/08/2019";"-61217,3"
"01/09/2019";"-62748,9"
"01/10/2019";"-69063,3"
"01/11/2019";"-69370,2"
"01/12/2019";"-68021,7"
"01/01/2020";"-69586,5"
"01/02/2020";"-71804,9"
"01/03/2020";"-71655,8"
"01/04/2020";"-66408,9"
"01/05/2020";"-62457,1"
"01/06/2020";"-56686,3"
"01/07/2020";"-45589,6"
"01/08/2020";"-38290,6"
"01/09/2020";"-34692,1"
"01/10/2020";"-26629,5"
"01/11/2020";"-25079,8"
"01/12/2020";"-28207,6"
"01/01/2021";"-25758,6"
"01/02/2021";"-24997,5"
"01/03/2021";"-29928,0"
"01/04/2021";"-28663,3"
"01/05/2021";"-27006,6"
"01/06/2021";"-28148,4"
"01/07/2021";"-31053,1"
"01/08/2021";"-34146,3"
"01/09/2021";"-37383,2"
"01/10/2021";"-41922,6"
"01/11/2021";"-47511,1"
"01/12/2021";"-46357,8"
"01/01/2022";"-47027,4"
"01/02/2022";"-46657,7"
"01/03/2022";"-41131,1"
"01/04/2022";"-44440,6"
"01/05/2022";"-51062,3"
"01/06/2022";"-52463,4"
"01/07/2022";"-54187,4"
"01/08/2022";"-58494,4"
"01/09/2022";"-61274,5"
"01/10/2022";"-60415,5"
"01/11/2022";"-52531,9"
"01/12/2022";"-55668,2"
